label,count,percent
"Unclassified",429,85.29
"Unclassified (sparse)",42,8.35
"Video Editing",16,3.18
"Health",2,0.40
"Film & TV",2,0.40
"AI",2,0.40
"Gaming",2,0.40
"Coding",1,0.20
"News",1,0.20
"Comedy",1,0.20
"Tech",1,0.20
"Business",1,0.20
"Finance",1,0.20
"Photography",1,0.20
"Music",1,0.20
